Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

03:06:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:09:58 PM     all      8.35      0.00      0.71      0.00      0.00     90.94
03:09:59 PM     all      4.54      0.00      0.47      0.00      0.00     94.98
03:10:00 PM     all      8.00      0.00      0.64      0.00      0.00     91.36
03:10:01 PM     all      4.79      0.00      0.51      0.01      0.00     94.68
03:10:02 PM     all      7.13      0.00      3.37      0.01      0.00     89.49
03:10:03 PM     all      1.03      0.00     59.81      0.00      0.00     39.16
03:10:04 PM     all      0.46      0.00     67.77      0.00      0.00     31.77
03:10:05 PM     all      2.10      0.00     12.35      0.00      0.00     85.55
03:10:06 PM     all      3.64      0.00      0.78      0.00      0.00     95.58
03:10:07 PM     all      3.64      0.00      1.02      0.15      0.00     95.19
03:10:08 PM     all      4.21      0.00      2.96      0.00      0.00     92.83
03:10:09 PM     all      7.01      0.00      0.71      0.00      0.00     92.28
03:10:10 PM     all      5.90      0.00      0.65      0.00      0.00     93.45
03:10:11 PM     all      6.99      0.00      0.35      0.03      0.00     92.63
03:10:12 PM     all      5.09      0.00      0.29      0.00      0.00     94.62
03:10:13 PM     all      9.12      0.00      3.60      0.08      0.00     87.19
03:10:14 PM     all      5.34      0.00      0.28      0.00      0.00     94.38
03:10:15 PM     all      7.99      0.00      0.45      0.00      0.00     91.57
03:10:16 PM     all      6.51      0.00      0.06      0.01      0.00     93.42
03:10:17 PM     all      4.57      0.00      0.03      0.00      0.00     95.40
03:10:18 PM     all      8.27      0.00      2.82      0.11      0.00     88.80
03:10:19 PM     all      8.73      0.00      0.44      0.00      0.00     90.82
03:10:20 PM     all      4.90      0.00      0.14      0.00      0.00     94.96
03:10:21 PM     all      4.53      0.00      0.08      0.00      0.00     95.38
03:10:22 PM     all      6.35      0.00      0.06      0.00      0.00     93.60
03:10:23 PM     all      6.72      0.00      0.15      0.04      0.00     93.08
03:10:24 PM     all      5.77      0.00      3.02      0.00      0.00     91.21
03:10:25 PM     all      9.12      0.00      0.08      0.00      0.00     90.80
03:10:26 PM     all      4.56      0.00      0.18      0.03      0.00     95.23
03:10:27 PM     all      5.55      0.00      0.04      0.00      0.00     94.40
03:10:28 PM     all      6.76      0.00      0.19      0.00      0.00     93.05
03:10:29 PM     all      5.30      0.00      2.94      0.00      0.00     91.76
03:10:30 PM     all      6.46      0.00      0.10      0.00      0.00     93.44
03:10:31 PM     all      6.47      0.00      0.10      0.01      0.00     93.42
03:10:32 PM     all      7.03      0.00      0.22      0.01      0.00     92.73
03:10:33 PM     all      5.76      0.00      0.17      0.01      0.00     94.06
03:10:34 PM     all      7.95      0.00      1.19      0.00      0.00     90.86
03:10:35 PM     all      5.19      0.00      1.62      0.00      0.00     93.19
03:10:36 PM     all      5.81      0.00      0.15      0.00      0.00     94.03
03:10:37 PM     all      4.46      0.00      0.07      0.00      0.00     95.47
03:10:38 PM     all      8.00      0.00      0.22      0.00      0.00     91.77
03:10:39 PM     all      6.15      0.00      0.31      0.01      0.00     93.53
03:10:40 PM     all      9.52      0.00      2.78      0.00      0.00     87.70
03:10:41 PM     all      4.43      0.00      0.25      0.00      0.00     95.32
03:10:42 PM     all      5.27      0.00      0.04      0.00      0.00     94.69
03:10:43 PM     all      7.54      0.00      0.19      0.00      0.00     92.26
03:10:44 PM     all      4.36      0.00      0.06      0.00      0.00     95.58
03:10:45 PM     all      7.48      0.00      2.99      0.00      0.00     89.53
03:10:46 PM     all      4.90      0.00      0.38      0.01      0.00     94.71
03:10:47 PM     all      8.53      0.00      0.54      0.00      0.00     90.93
03:10:48 PM     all      4.40      0.00      0.33      0.00      0.00     95.27
03:10:49 PM     all      8.75      0.00      0.35      0.04      0.00     90.86
03:10:50 PM     all      4.51      0.00      0.57      0.00      0.00     94.92
03:10:51 PM     all      7.53      0.00      2.80      0.04      0.00     89.63
03:10:52 PM     all      7.79      0.00      0.33      0.00      0.00     91.88
03:10:53 PM     all      4.49      0.00      0.28      0.00      0.00     95.23
03:10:54 PM     all      6.33      0.00      0.60      0.01      0.00     93.06
03:10:55 PM     all      4.62      0.00      0.43      0.00      0.00     94.95
03:10:56 PM     all     11.01      0.00      3.46      0.01      0.00     85.52
03:10:57 PM     all      4.73      0.00      0.49      0.00      0.00     94.79
03:10:58 PM     all      8.64      0.00      0.53      0.00      0.00     90.83
03:10:59 PM     all      4.79      0.00      0.47      0.01      0.00     94.73
03:11:00 PM     all      5.46      0.00      0.49      0.00      0.00     94.06
03:11:01 PM     all      9.56      0.00      3.12      0.01      0.00     87.31
03:11:02 PM     all      5.99      0.00      0.76      0.00      0.00     93.24
03:11:03 PM     all      4.58      0.00      0.50      0.00      0.00     94.92
03:11:04 PM     all      8.52      0.00      0.47      0.03      0.00     90.98
03:11:05 PM     all      5.41      0.00      0.40      0.00      0.00     94.19
03:11:06 PM     all      4.61      0.00      0.42      0.00      0.00     94.97
03:11:07 PM     all     10.55      0.00      3.38      0.00      0.00     86.07
03:11:08 PM     all      4.73      0.00      0.58      0.00      0.00     94.69
03:11:09 PM     all      6.44      0.00      0.72      0.04      0.00     92.79
03:11:10 PM     all      7.80      0.00      0.29      0.00      0.00     91.91
03:11:11 PM     all      6.04      0.00      0.36      0.01      0.00     93.58
03:11:12 PM     all      5.88      0.00      2.86      0.01      0.00     91.24
03:11:13 PM     all      8.24      0.00      0.33      0.00      0.00     91.43
03:11:14 PM     all      5.33      0.00      0.31      0.03      0.00     94.34
03:11:15 PM     all      5.78      0.00      0.28      0.00      0.00     93.95
03:11:16 PM     all      7.15      0.00      0.31      0.01      0.00     92.53
03:11:17 PM     all      5.35      0.00      1.60      0.00      0.00     93.05
03:11:18 PM     all      6.30      0.00      1.62      0.00      0.00     92.08
03:11:19 PM     all      7.56      0.00      0.24      0.00      0.00     92.20
03:11:20 PM     all      5.86      0.00      0.14      0.00      0.00     94.00
03:11:21 PM     all      4.41      0.00      0.15      0.00      0.00     95.44
03:11:22 PM     all      7.63      0.00      0.06      0.00      0.00     92.31
03:11:23 PM     all      6.98      0.00      2.88      0.00      0.00     90.14
03:11:24 PM     all      7.31      0.00      0.33      0.03      0.00     92.33
03:11:25 PM     all      6.07      0.00      0.10      0.00      0.00     93.83
